date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:00:11	91/91	---M-Z	200	added ('OK')	text/plain	etag:%22b53a5e5bb003f43676ac45479177f1d8%22	https://pankajchaudhary.me/robots.txt		(from )
05:00:11	822796/822796	---M-Z	200	added ('OK')	text/html	etag:%22b3271a129a93ffcb8cf47a6ed8946f32%22	https://pankajchaudhary.me/	C:/My%20Web%20Sites/Pankaj/pankajchaudhary.me/index.html	(from )
05:00:12	169616/169616	---M--	200	added ('OK')	image/png	etag:%22820a50ea97f7df32a91f46fcfadb2fe4%22	https://framerusercontent.com/assets/F4tzJiiHTObIqTGKUudZ0GlcIg.png	C:/My%20Web%20Sites/Pankaj/framerusercontent.com/assets/F4tzJiiHTObIqTGKUudZ0GlcIg.png	(from https://pankajchaudhary.me/)
05:00:13	137787/137787	---M-Z	404	error ('Not%20Found')	text/html	etag:%2252f96ab22c2a8b686b3404e4cd728d8b%22	https://pankajchaudhary.me/&apos;https://framerusercontent.com/images/rR6HYXBrMmX4cRpXfXUOvpvpB0.png&apos;	C:/My%20Web%20Sites/Pankaj/pankajchaudhary.me/&apos;https_/framerusercontent.com/images/rR6HYXBrMmX4cRpXfXUOvpvpB0.1.delayed	(from https://pankajchaudhary.me/)
05:00:14	585130/585130	---M-Z	200	added ('OK')	text/html	etag:%22651f05cc8be5648846a1e8c2d21da6de%22	https://pankajchaudhary.me/about	C:/My%20Web%20Sites/Pankaj/pankajchaudhary.me/about.html	(from https://pankajchaudhary.me/)
05:00:14	520987/520987	---M-Z	200	added ('OK')	text/html	etag:%22e65f24a65e20cdc0ca8c96d28937ca6f%22	https://pankajchaudhary.me/works	C:/My%20Web%20Sites/Pankaj/pankajchaudhary.me/works.html	(from https://pankajchaudhary.me/)
05:00:15	472501/472501	---M-Z	200	added ('OK')	text/html	etag:%22a844c44216c5367bb6e2476e2e4f8251%22	https://pankajchaudhary.me/contact	C:/My%20Web%20Sites/Pankaj/pankajchaudhary.me/contact.html	(from https://pankajchaudhary.me/)
05:00:15	137787/137787	---M-Z	404	error ('Not%20Found')	text/html	etag:%2252f96ab22c2a8b686b3404e4cd728d8b%22	https://pankajchaudhary.me/&apos;data:image/svg+xml;utf8,%3Csvg%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%20xmlns%3Axlink%3D%22http%3A%2F%2Fwww.w3.org%2F1999%2Fxlink%22%20viewBox%3D%220%200%2024%2024%22%3E%3Cpath%20d%3D%22M%209%206%20L%2015%2012%20L%209%2018%22%20fill%3D%22transparent%22%20stroke-width%3D%221.411764705882353%22%20stroke%3D%22rgb(255%2C255%2C255	C:/My%20Web%20Sites/Pankaj/pankajchaudhary.me/&apos;data_image/svg+xml;utf8,_svg%20xmlns=_http_/www.w3.org/2000/svg_%20xmlns_xlink=_http_/www.w3.org/1999/xlink_%20viewBox=_0%200%2024%2024___path%20d=_M%209%206%20L%2015%2012%20L%209%2018_%20fill=_transparent_%20stroke-width=	(from https://pankajchaudhary.me/)
05:00:15	35327/35327	---MC-	200	added ('OK')	image/jpeg	etag:%220ea922c7c0f3bc600c7f4e45fde557df%22	https://framerusercontent.com/images/9FSoJrwP2nnmVpjMhu0c6sdt7pY.jpg	C:/My%20Web%20Sites/Pankaj/framerusercontent.com/images/9FSoJrwP2nnmVpjMhu0c6sdt7pY.jpg	(from https://pankajchaudhary.me/)
05:00:15	31366/31366	---MC-	200	added ('OK')	image/jpeg	etag:%223b42ed3652e50ba2bf19a3c32c2797eb%22	https://framerusercontent.com/images/4yXrocekf6UMOGsrZMbIPqLaVrw.jpg	C:/My%20Web%20Sites/Pankaj/framerusercontent.com/images/4yXrocekf6UMOGsrZMbIPqLaVrw.jpg	(from https://pankajchaudhary.me/)
